,description,link,name,number,website
205,,, Object-Oriented Design and Data Structures - Honors,2112,http://www.cs.cornell.edu/courses/CS2112/2019fa/
206,,, Intermediate Design and Programming for the Web,2300,http://www.cs.cornell.edu/courses/CS2300/2020sp/
207,,, Urban Analytics,2382,https://classes.cornell.edu/browse/roster/FA20/class/CS/2382
208,,, Excursions in Computational Sustainability,2770,https://classes.cornell.edu/browse/roster/SP21/class/CS/2770
209,,, Discrete Structures,2800,https://classes.cornell.edu/browse/roster/SP22/class/CS/2800
210,,, Discrete Structures - Honors,2802,http://www.cs.cornell.edu/courses/CS2802/2019sp/
211,,, Networks,2850,http://www.cs.cornell.edu/courses/CS2850/2019fa/
212,,, Data Structures and Functional Programming,3110,http://www.cs.cornell.edu/courses/CS3110/2021sp/
213,,, Introduction to Computer Game Architecture,3152,http://www.cs.cornell.edu/courses/CS3152/2020sp/
214,,, Computational Mathematics for Computer Science,3220,http://www.cs.cornell.edu/courses/CS3220/2019fa/
215,,, Data-Driven Web Applications,3300,http://www.cs.cornell.edu/courses/CS3300/2020sp/
216,,, Computer System Organization and Programming,3410,http://www.cs.cornell.edu/courses/CS3410/2021sp/
217,,, Embedded Systems,3420,https://classes.cornell.edu/browse/roster/SP22/class/CS/3420
218,,, Autonomous Mobile Robots,3758,https://classes.cornell.edu/browse/roster/SP22/class/CS/3758
219,,, Teaching Experience in Computer Science,4090,https://classes.cornell.edu/browse/roster/SP22/class/CS/4090
220,,, Programming Languages and Logics,4110,http://www.cs.cornell.edu/courses/CS4110/2018fa/
221,,, Introduction to Compilers,4120,http://www.cs.cornell.edu/courses/CS4120/2020sp/
222,,, Practicum in Compilers,4121,http://www.cs.cornell.edu/courses/CS4121/2020sp/
223,,, Advanced Topics in Computer Game Architecture,4152,http://www.cs.cornell.edu/courses/CS4152/2020sp/
224,,, Formal Verification,4160,http://www.cs.cornell.edu/courses/CS4160/2019sp/
225,,, Numerical Analysis and Differential Equations,4210,https://classes.cornell.edu/browse/roster/FA21/class/CS/4210
226,,, Numerical Analysis,4220,http://www.cs.cornell.edu/courses/CS4220/2021sp/
227,,, Language and Information,4300,http://www.cs.cornell.edu/courses/CS4300/2020sp/
228,,, Introduction to Database Systems,4320,http://www.cs.cornell.edu/courses/CS4320/2019fa/
229,,, Practicum in Database Systems,4321,http://www.cs.cornell.edu/courses/CS4321/2018fa/
230,,, Operating Systems,4410,http://www.cs.cornell.edu/courses/CS4410/2021sp/
231,,, Practicum in Operating Systems,4411,http://www.cs.cornell.edu/courses/CS4411/2021sp/
232,,, Systems Programming,4414,http://www.cs.cornell.edu/courses/cs4414/2020fa/
233,,, Computer Architecture,4420,http://www.cs.cornell.edu/courses/CS4420/2019fa/
234,,, Introduction to Computer Networks,4450,http://www.cs.cornell.edu/courses/CS4450/2019sp/
235,,, Introduction to Computer Graphics,4620,http://www.cs.cornell.edu/courses/CS4620/2019fa/
236,,, Computer Graphics Practicum,4621,http://www.cs.cornell.edu/courses/CS4621/2019fa/
237,,, Introduction to Computer Vision,4670,http://www.cs.cornell.edu/courses/CS4670/2020sp/
238,,, Foundations of Artificial Intelligence,4700,http://www.cs.cornell.edu/courses/CS4700/2021sp/
239,,, Practicum in Artificial Intelligence,4701,http://www.cs.cornell.edu/courses/CS4701/2021sp/
240,,, Natural Language Processing,4740,http://www.cs.cornell.edu/courses/CS4740/2019fa/
241,,, Computational Linguistics,4744,https://classes.cornell.edu/browse/roster/SP22/class/CS/4744
242,,, Foundations of Robotics,4750,http://www.cs.cornell.edu/courses/CS4750/2018fa/
243,,, Re-Designing Robots,4754,https://classes.cornell.edu/browse/roster/FA21/class/CS/4754
244,,, Autonomous Mobile Robots,4758,https://classes.cornell.edu/browse/roster/SP22/class/CS/4758
245,,, Computational Genetics and Genomics,4775,https://classes.cornell.edu/browse/roster/FA20/class/CS/4775
246,,, Introduction to Machine Learning,4780,http://www.cs.cornell.edu/courses/CS4780/2021sp/
247,,, Mathematical Foundations of Machine Learning,4783,https://classes.cornell.edu/browse/roster/SP22/class/CS/4783
248,,, Machine Learning for Data Science,4786,http://www.cs.cornell.edu/courses/CS4786/2017fa/
249,,, Principles of Large-Scale Machine Learning Systems,4787,http://www.cs.cornell.edu/courses/CS4787/2019sp/
250,,, Introduction to Reinforcement Learning,4789,https://classes.cornell.edu/browse/roster/SP22/class/CS/4789
251,,, Introduction to Theory of Computing,4810,http://www.cs.cornell.edu/courses/CS4810/2018fa/
252,,, Quantum Information Processing,4812,http://www.cs.cornell.edu/courses/CS4812/2018fa/
253,,, Introduction to Computational Complexity,4814,http://www.cs.cornell.edu/courses/CS4814/2020sp/
254,,, Introduction to Analysis of Algorithms,4820,https://classes.cornell.edu/browse/roster/SP22/class/CS/4820
255,,, Introduction to Cryptography,4830,https://cs4830-sp17.jimdo.com/
256,,, Mathematical Foundations for the Information Age,4850,http://www.cs.cornell.edu/courses/CS4850/2019sp/
257,,, Networks II,4852,https://classes.cornell.edu/browse/roster/SP22/class/CS/4852
258,,, Applied Logic,4860,http://www.cs.cornell.edu/courses/CS4860/2019fa/
259,,, International Research Internship,4990,https://classes.cornell.edu/browse/roster/SP21/class/CS/4990
260,,, Practical Training in Computer Science,4997,https://classes.cornell.edu/browse/roster/SP22/class/CS/4997
261,,, Team Projects,4998,https://classes.cornell.edu/browse/roster/SP22/class/CS/4998
262,,, Independent Reading and Research,4999,https://classes.cornell.edu/browse/roster/SP22/class/CS/4999
263,,," Introduction to Blockchains, Cryptocurrencies, and Smart Contracts",5094,https://classes.cornell.edu/browse/roster/SP18/class/CS/5094
264,,, Programming Languages and Logics,5110,https://www.cs.cornell.edu/courses/cs4110/2018fa/
265,,, Algorithms and Data Structures for Applications,5112,http://www.cs.cornell.edu/courses/CS5112/2020fa/
266,,, Software-Defined Networking,5114,http://www.cs.cornell.edu/courses/CS5114/2019fa/
267,,, Introduction to Compilers,5120,http://www.cs.cornell.edu/courses/CS5120/2020sp/
268,,, Practicum in Compilers,5121,http://www.cs.cornell.edu/courses/CS5121/2020sp/
269,,, Computational Integer Programming,5135,https://classes.cornell.edu/browse/roster/SP22/class/CS/5135
270,,, Software Engineering,5150,http://www.cs.cornell.edu/courses/CS5150/2019sp/
271,,, Advanced Topics in Computer Game Architecture,5152,http://www.cs.cornell.edu/courses/CS5152/2019sp/
272,,, Software Testing,5154,http://www.cs.cornell.edu/courses/CS5154/2021sp/
273,,, Formal Verification,5160,https://classes.cornell.edu/browse/roster/SP22/class/CS/5160
274,,, Competition Programming and Problem Solving Seminar,5199,http://www.cs.cornell.edu/courses/CS5199/2019sp/
275,,, Applications of Parallel Computers,5220,http://www.cs.cornell.edu/courses/CS5220/2017fa/
276,,, Numerical Analysis,5223,https://classes.cornell.edu/browse/roster/SP22/class/CS/5223
277,,, Data Science in the Wild,5304,https://classes.cornell.edu/browse/roster/SP22/class/CS/5304
278,,, Crowdsourcing and Human Computation,5306,http://www.cs.cornell.edu/courses/CS5306/2018fa/
279,,, Introduction to Database Systems,5320,http://www.cs.cornell.edu/courses/CS5320/2019fa/
280,,, Practicum in Database Systems,5321,http://www.cs.cornell.edu/courses/cs4321/2018fa/
281,,, Building Startup Systems,5356,https://classes.cornell.edu/browse/roster/SP22/class/CS/5356
282,,, Operating Systems,5410,http://www.cs.cornell.edu/courses/CS5410/2021fa/
283,,, Practicum in Operating Systems,5411,http://www.cs.cornell.edu/courses/CS5411/2021fa/
284,,, Cloud Computing,5412,http://www.cs.cornell.edu/courses/CS5412/2021sp/
285,,, Distributed Computing Principles,5414,http://www.cs.cornell.edu/courses/CS5414/2018fa/
286,,, Advanced Computer Architecture,5420,https://classes.cornell.edu/browse/roster/FA21/class/CS/5420
287,,, Developing and Designing Interactive Devices,5424,https://classes.cornell.edu/browse/roster/FA21/class/CS/5424
288,,, System Security,5430,http://www.cs.cornell.edu/courses/CS5430/2020sp/
289,,, Practicum in System Security,5431,http://www.cs.cornell.edu/courses/CS5431/2017sp/
290,,, Advanced System Security,5432,http://www.cs.cornell.edu/courses/CS5432/2021sp/
291,,," Blockchains, Cryptocurrencies, and Smart Contracts",5433,https://classes.cornell.edu/browse/roster/SP22/class/CS/5433
292,,, Security and Privacy Concepts in the Wild,5435,https://classes.cornell.edu/browse/roster/FA21/class/CS/5435
293,,, Privacy in the Digital Age,5436,https://classes.cornell.edu/browse/roster/SP22/class/CS/5436
294,,, Practicum in Computer Security,5439,https://github.com/cornelltech/CS5439-Fall2018
295,,, Networked and Distributed Systems,5450,https://classes.cornell.edu/browse/roster/SP20/class/CS/5450
296,,, Introduction to Computer Graphics,5620,http://www.cs.cornell.edu/courses/CS5620/2019fa/
